currency,nodes,wallets,miners,transactions,interval,shards,average block time,block size,messages,mode,tps,no. of blocks generated,blocktime in configuration file,sig_scheme,broadcast_protocol,shard_comm_protocol,broadcast_cpu_seconds,hop_p50,hop_p90,hop_p99,hop_max
memo,1024,1024000,1024,1024000,0.01,128,34.39583629049076,1024,5625610,sharded,29.655449903452432,1000,37.5,ed25519,plumtree,kademlia,380.48959999999965,6,8,9,15
memo,1024,1024000,1024,1024000,0.01,128,4.361294671284241,1024,11210344,sharded,233.94154188154474,1000,4.6875,ed25519,gossip,kademlia,941.2824999999813,3,4,4,6
memo,1024,1024000,1024,1024000,0.01,128,4.362295123111083,1024,12001302,sharded,234.00525897293952,1000,4.6875,ed25519,gossipsub,kademlia,1020.8154000000003,3,4,4,5
memo,1024,1024000,1024,1024000,0.01,128,4.377447277490112,1024,5687125,sharded,233.19344249996075,1000,4.6875,ed25519,plumtree,kademlia,380.5032000000002,6,8,9,15
memo,1024,1024000,1024,1024000,0.01,128,544.1909114525454,1024,11263634,sharded,1.8759739983070693,1000,600.0,ed25519,gossip,kademlia,951.6354999999795,3,4,4,5
memo,1024,1024000,1024,1024000,0.01,128,545.2833307107848,1024,11979846,sharded,1.871526126921481,1000,600.0,ed25519,gossipsub,kademlia,1020.5033999999997,3,4,4,5
memo,1024,1024000,1024,1024000,0.01,128,545.3525386385377,1024,5689360,sharded,1.8712152739722991,1000,600.0,ed25519,plumtree,kademlia,380.6190500000001,6,8,9,15
memo,1024,1024000,1024,1024000,0.01,128,68.26394833434586,1024,11197480,sharded,14.95313448616364,1000,75.0,ed25519,gossip,kademlia,942.8669999999797,3,4,4,6
memo,1024,1024000,1024,1024000,0.01,128,68.84791595717726,1024,12004670,sharded,14.821073169951562,1000,75.0,ed25519,gossipsub,kademlia,1020.7073999999978,3,4,4,5
memo,1024,1024000,1024,1024000,0.01,128,68.76383601388137,1024,5621073,sharded,14.842220259410333,1000,75.0,ed25519,plumtree,kademlia,380.8397499999999,6,8,9,14
memo,1024,1024000,1024,1024000,0.01,128,8.567039200975978,1024,11217796,sharded,119.15341765725887,1000,9.375,ed25519,gossip,kademlia,943.0324999999798,3,4,4,5
memo,1024,1024000,1024,1024000,0.01,128,8.64716922766184,1024,11981826,sharded,118.01133678933788,1000,9.375,ed25519,gossipsub,kademlia,1021.558200000001,3,4,4,5
memo,1024,1024000,1024,1024000,0.01,128,8.63499233231223,1024,5628895,sharded,118.17868050460027,1000,9.375,ed25519,plumtree,kademlia,380.6551500000008,6,8,9,14
memo,1024,131072000,1024,131072000,0.01,128,0.27562570607733755,131072,11219958,sharded,473585.4643520589,1000,0.146484375,ed25519,gossip,kademlia,946.0109999999786,3,4,4,6
memo,1024,131072000,1024,131072000,0.01,128,0.27500365313680925,131072,11993072,sharded,474537.550725113,1000,0.146484375,ed25519,gossipsub,kademlia,1021.2096000000016,3,4,4,5
memo,1024,131072000,1024,131072000,0.01,128,0.2801453193258092,131072,5683283,sharded,465828.09348397114,1000,0.146484375,ed25519,plumtree,kademlia,380.68919999999963,6,8,9,14
memo,1024,131072000,1024,131072000,0.01,128,0.40382734075908105,131072,11283530,sharded,323207.53655425925,1000,0.29296875,ed25519,gossip,kademlia,946.7854999999809,3,4,4,5
memo,1024,131072000,1024,131072000,0.01,128,0.40408825497863643,131072,11976348,sharded,323014.05049968784,1000,0.29296875,ed25519,gossipsub,kademlia,1021.135799999999,3,4,4,5
memo,1024,131072000,1024,131072000,0.01,128,0.4063513046977705,131072,5660815,sharded,321126.9226686845,1000,0.29296875,ed25519,plumtree,kademlia,380.52280000000064,6,8,9,14
memo,1024,131072000,1024,131072000,0.01,128,0.6680764361996521,131072,11177702,sharded,195356.19717770847,1000,0.5859375,ed25519,gossip,kademlia,945.8664999999804,3,4,4,5
memo,1024,131072000,1024,131072000,0.01,128,0.666095832209663,131072,11991318,sharded,195915.55702592022,1000,0.5859375,ed25519,gossipsub,kademlia,1021.1747999999982,3,4,4,5
memo,1024,131072000,1024,131072000,0.01,128,0.6709819011045094,131072,5622511,sharded,194490.43228317113,1000,0.5859375,ed25519,plumtree,kademlia,380.855499999999,6,8,9,13
memo,1024,131072000,1024,131072000,0.01,128,1092.8416121244388,131072,11197906,sharded,119.40275201118683,1000,1200.0,ed25519,gossip,kademlia,942.0094999999819,3,4,4,6
memo,1024,131072000,1024,131072000,0.01,128,1096.9481807388254,131072,12000782,sharded,118.94081624906248,1000,1200.0,ed25519,gossipsub,kademlia,1021.2233999999991,3,4,4,5
memo,1024,131072000,1024,131072000,0.01,128,1091.839696426589,131072,5625200,sharded,119.54514607518296,1000,1200.0,ed25519,plumtree,kademlia,380.59684999999945,6,8,9,16
memo,1024,131072000,1024,131072000,0.01,128,136.76802610681787,131072,11171662,sharded,954.1896283424862,1000,150.0,ed25519,gossip,kademlia,940.4209999999815,3,4,4,5
memo,1024,131072000,1024,131072000,0.01,128,136.39994653000628,131072,12003398,sharded,956.4492312414545,1000,150.0,ed25519,gossipsub,kademlia,1022.5817999999971,3,4,4,5
memo,1024,131072000,1024,131072000,0.01,128,136.0292620732306,131072,5703195,sharded,959.4620893388219,1000,150.0,ed25519,plumtree,kademlia,380.5732999999998,6,8,9,14
memo,1024,131072000,1024,131072000,0.01,128,17.253824712622162,131072,11222740,sharded,7562.031153854879,1000,18.75,ed25519,gossip,kademlia,945.7019999999795,3,4,4,6
memo,1024,131072000,1024,131072000,0.01,128,17.147872203881132,131072,12008792,sharded,7609.173106064308,1000,18.75,ed25519,gossipsub,kademlia,1022.7420000000013,3,4,4,5
memo,1024,131072000,1024,131072000,0.01,128,17.205478184269236,131072,5669877,sharded,7582.922985499187,1000,18.75,ed25519,plumtree,kademlia,380.652,6,8,9,15
memo,1024,131072000,1024,131072000,0.01,128,1.1950572648719477,131072,11244854,sharded,109217.41395713412,1000,1.171875,ed25519,gossip,kademlia,945.1929999999797,3,4,4,6
memo,1024,131072000,1024,131072000,0.01,128,1.2054387496112808,131072,11997756,sharded,108235.18660079004,1000,1.171875,ed25519,gossipsub,kademlia,1020.8459999999986,3,4,4,5
memo,1024,131072000,1024,131072000,0.01,128,1.2033205157781302,131072,5664059,sharded,108446.99004871045,1000,1.171875,ed25519,plumtree,kademlia,380.69950000000057,6,8,9,15
memo,1024,131072000,1024,131072000,0.01,128,2.276180104695005,131072,11184942,sharded,57316.05848364143,1000,2.34375,ed25519,gossip,kademlia,942.1439999999803,3,4,4,5
memo,1024,131072000,1024,131072000,0.01,128,2.267492335943127,131072,12005320,sharded,57543.3389263163,1000,2.34375,ed25519,gossipsub,kademlia,1021.9313999999991,3,4,4,5
memo,1024,131072000,1024,131072000,0.01,128,2.2689655138465343,131072,5658302,sharded,57532.60470614155,1000,2.34375,ed25519,plumtree,kademlia,380.5050000000022,6,8,9,13
memo,1024,131072000,1024,131072000,0.01,128,273.1415253433593,131072,11226178,sharded,477.7426934112731,1000,300.0,ed25519,gossip,kademlia,942.2274999999808,3,4,4,6
memo,1024,131072000,1024,131072000,0.01,128,274.8755699260894,131072,11996828,sharded,474.69161422779314,1000,300.0,ed25519,gossipsub,kademlia,1021.1873999999962,3,4,4,5
memo,1024,131072000,1024,131072000,0.01,128,274.69429220758207,131072,5627249,sharded,475.0160585841194,1000,300.0,ed25519,plumtree,kademlia,380.5307500000007,6,8,9,14
