currency,nodes,wallets,miners,transactions,interval,shards,average block time,block size,messages,mode,tps,no. of blocks generated
memo,1000,1000,1000,1000,0.01,16,2.540608178230982,8192,126813,sharded,3200.4467947807107,123
memo,1000,1000,1000,1000,0.01,64,0.7013949057430598,8192,138621,sharded,11592.729337261035,123
memo,1000,1000,1000,1000,0.01,9,4.49950240851327,8192,125091,sharded,1807.1067781692082,123
memo,1000,1000,1000,1000,0.01,128,0.37783413312358827,8192,154365,sharded,21520.240200620938,123
memo,1000,1000,1000,1000,0.01,1,38.822858842969204,8192,123123,conventional,209.44056010150172,123
memo,1000,1000,1000,1000,0.01,6,7.373963067627771,8192,124353,sharded,1102.6745355572828,123
memo,1000,1000,1000,1000,0.01,2,19.881815508617844,8192,123369,sharded,408.9707651340272,123
memo,1000,1000,1000,1000,0.01,4,9.18873917143212,8192,123861,sharded,884.8963006908084,123
memo,1000,1000,1000,1000,0.01,256,0.23359217846509822,8192,185853,sharded,34808.87653962224,123
memo,1000,1000,1000,1000,0.01,32,1.2139346992104905,8192,130749,sharded,6698.1208347543225,123
memo,1000,1000,1000,1000,0.01,8,5.020044048567976,8192,124845,sharded,1619.7230984721123,123
memo,1000,1000,1000,1000,0.01,6,3.365109392245716,4096,247695,sharded,1213.2243493982428,245
memo,1000,1000,1000,1000,0.01,2,10.0053597816533,4096,245735,sharded,408.04456233023177,245
memo,1000,1000,1000,1000,0.01,256,0.16175942626918327,4096,370195,sharded,25238.91650225892,245
memo,1000,1000,1000,1000,0.01,64,0.3764288817741023,4096,276115,sharded,10845.694500963511,245
memo,1000,1000,1000,1000,0.01,16,1.317146297568263,4096,252595,sharded,3099.604547041318,245
memo,1000,1000,1000,1000,0.01,4,4.866333868219999,4096,246715,sharded,838.9544909204029,245
memo,1000,1000,1000,1000,0.01,9,2.2730850379321956,4096,249165,sharded,1796.075635065179,245
memo,1000,1000,1000,1000,0.01,8,2.428552175940994,4096,248675,sharded,1681.0973606030605,245
