currency,nodes,wallets,miners,transactions,interval,shards,block size,mode,blocktime in configuration file,sig_scheme,broadcast_protocol,shard_comm_protocol,verify_mode,conflict_check,n_seeds,tps_mean,tps_std,tps_ci95_halfwidth,tps_n,average block time_mean,average block time_std,average block time_ci95_halfwidth,average block time_n,messages_mean,messages_std,messages_ci95_halfwidth,messages_n,broadcast_cpu_seconds_mean,broadcast_cpu_seconds_std,broadcast_cpu_seconds_ci95_halfwidth,broadcast_cpu_seconds_n,hop_p50_mean,hop_p50_std,hop_p50_ci95_halfwidth,hop_p50_n,hop_p90_mean,hop_p90_std,hop_p90_ci95_halfwidth,hop_p90_n,hop_p99_mean,hop_p99_std,hop_p99_ci95_halfwidth,hop_p99_n,hop_max_mean,hop_max_std,hop_max_ci95_halfwidth,hop_max_n
memo,1000,1024000,1000,1024000,0.01,128,1024,sharded,600.0,ed25519,gossip,direct,shard,nonce_hash_set,5,1.873410,0.003655,0.004538,5,544.756324,0.989621,1.228579,5,12598807.200000,977470.314387,1213495.126285,5,1214.738000,70.317812,87.297098,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,3.000000,0.000000,0.000000,5
memo,1000,1024000,1000,1024000,0.01,128,1024,sharded,75.0,ed25519,gossip,direct,shard,nonce_hash_set,5,14.984266,0.029229,0.036287,5,68.108219,0.123700,0.153570,5,12598807.200000,977470.314387,1213495.126285,5,1214.738000,70.317812,87.297098,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,3.000000,0.000000,0.000000,5
memo,1000,1024000,1000,1024000,0.01,128,1024,sharded,9.375,ed25519,gossip,direct,shard,nonce_hash_set,5,119.681842,0.233074,0.289353,5,8.527206,0.015460,0.019193,5,12598807.200000,977470.314387,1213495.126285,5,1214.738000,70.317812,87.297098,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,3.000000,0.000000,0.000000,5
memo,1000,131072000,1000,131072000,0.01,128,131072,sharded,0.146484375,ed25519,gossip,direct,shard,nonce_hash_set,5,644176.983975,2641.314126,3279.098886,5,0.202592,0.000847,0.001052,5,12598807.200000,977470.314387,1213495.126285,5,1214.738000,70.317812,87.297098,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,3.000000,0.000000,0.000000,5
memo,1000,131072000,1000,131072000,0.01,128,131072,sharded,0.29296875,ed25519,gossip,direct,shard,nonce_hash_set,5,395517.178338,1354.697191,1681.809068,5,0.329959,0.001147,0.001424,5,12598807.200000,977470.314387,1213495.126285,5,1214.738000,70.317812,87.297098,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,3.000000,0.000000,0.000000,5
memo,1000,131072000,1000,131072000,0.01,128,131072,sharded,0.5859375,ed25519,gossip,direct,shard,nonce_hash_set,5,220186.062298,428.938510,532.512122,5,0.592697,0.001146,0.001422,5,12598807.200000,977470.314387,1213495.126285,5,1214.738000,70.317812,87.297098,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,3.000000,0.000000,0.000000,5
memo,1000,131072000,1000,131072000,0.01,128,131072,sharded,1200.0,ed25519,gossip,direct,shard,nonce_hash_set,5,119.778766,0.233671,0.290095,5,1089.538820,1.978941,2.456786,5,12598807.200000,977470.314387,1213495.126285,5,1214.738000,70.317812,87.297098,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,3.000000,0.000000,0.000000,5
memo,1000,131072000,1000,131072000,0.01,128,131072,sharded,150.0,ed25519,gossip,direct,shard,nonce_hash_set,5,957.876655,1.865991,2.316562,5,136.242609,0.247102,0.306768,5,12598807.200000,977470.314387,1213495.126285,5,1214.738000,70.317812,87.297098,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,3.000000,0.000000,0.000000,5
memo,1000,131072000,1000,131072000,0.01,128,131072,sharded,18.75,ed25519,gossip,direct,shard,nonce_hash_set,5,7640.422484,14.717273,18.270978,5,17.080679,0.030633,0.038029,5,12598807.200000,977470.314387,1213495.126285,5,1214.738000,70.317812,87.297098,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,3.000000,0.000000,0.000000,5
memo,1000,131072000,1000,131072000,0.01,128,131072,sharded,1.171875,ed25519,gossip,direct,shard,nonce_hash_set,5,116194.261552,195.048692,242.146113,5,1.123149,0.001780,0.002209,5,12598807.200000,977470.314387,1213495.126285,5,1214.738000,70.317812,87.297098,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,3.000000,0.000000,0.000000,5
memo,1000,131072000,1000,131072000,0.01,128,131072,sharded,2.34375,ed25519,gossip,direct,shard,nonce_hash_set,5,59692.683038,105.906224,131.478864,5,2.186257,0.003615,0.004487,5,12598807.200000,977470.314387,1213495.126285,5,1214.738000,70.317812,87.297098,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,3.000000,0.000000,0.000000,5
memo,1000,131072000,1000,131072000,0.01,128,131072,sharded,300.0,ed25519,gossip,direct,shard,nonce_hash_set,5,479.039304,0.933960,1.159479,5,272.427782,0.494507,0.613913,5,12598807.200000,977470.314387,1213495.126285,5,1214.738000,70.317812,87.297098,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,3.000000,0.000000,0.000000,5
memo,1000,131072000,1000,131072000,0.01,128,131072,sharded,37.5,ed25519,gossip,direct,shard,nonce_hash_set,5,3826.663988,7.416861,9.207772,5,34.103755,0.061540,0.076399,5,12598807.200000,977470.314387,1213495.126285,5,1214.738000,70.317812,87.297098,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,3.000000,0.000000,0.000000,5
memo,1000,131072000,1000,131072000,0.01,128,131072,sharded,4.6875,ed25519,gossip,direct,shard,nonce_hash_set,5,30253.300063,56.211270,69.784322,5,4.313697,0.007462,0.009264,5,12598807.200000,977470.314387,1213495.126285,5,1214.738000,70.317812,87.297098,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,3.000000,0.000000,0.000000,5
memo,1000,131072000,1000,131072000,0.01,128,131072,sharded,600.0,ed25519,gossip,direct,shard,nonce_hash_set,5,239.544904,0.467222,0.580039,5,544.798128,0.989318,1.228204,5,12598807.200000,977470.314387,1213495.126285,5,1214.738000,70.317812,87.297098,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,3.000000,0.000000,0.000000,5
