currency,nodes,neighbors,wallets,miners,transactions,interval,shards,average block time,block size,messages,mode,tps,no. of blocks generated,blocktime in configuration file,sig_scheme,broadcast_protocol,shard_comm_protocol,verify_mode,seed,conflict_check,broadcast_cpu_seconds,hop_p50,hop_p90,hop_p99,hop_max
memo,1000,250,524288000,1000,524288000,0.01,512,0.370164944167376,524288,63771894,sharded,1414836.1055043354,1000,0.146484375,ed25519,gossip,direct,shard,0,nonce_hash_set,6274.999999999776,2,2,2,2
memo,1000,250,524288000,1000,524288000,0.01,512,0.36999247986404954,524288,63771870,sharded,1415462.3904584027,1000,0.146484375,ed25519,gossip,direct,shard,1,nonce_hash_set,6274.999999999776,2,2,2,2
memo,1000,250,524288000,1000,524288000,0.01,512,0.3700616346735,524288,63771852,sharded,1415172.9737184292,1000,0.146484375,ed25519,gossip,direct,shard,2,nonce_hash_set,6274.999999999776,2,2,2,2
memo,1000,250,524288000,1000,524288000,0.01,512,0.3702815788540597,524288,63771816,sharded,1414282.594399331,1000,0.146484375,ed25519,gossip,direct,shard,3,nonce_hash_set,6274.999999999776,2,2,2,2
memo,1000,250,524288000,1000,524288000,0.01,512,0.36968844723896077,524288,63771836,sharded,1416579.381669163,1000,0.146484375,ed25519,gossip,direct,shard,4,nonce_hash_set,6274.999999999776,2,2,2,2
memo,1000,2,524288000,1000,524288000,0.01,512,0.3829393389338505,524288,2656440,sharded,1367625.5081499154,1000,0.146484375,ed25519,gossip,direct,shard,0,nonce_hash_set,163.45600000000155,9,12,16,23
memo,1000,2,524288000,1000,524288000,0.01,512,0.37930272293095035,524288,2666448,sharded,1380794.49562861,1000,0.146484375,ed25519,gossip,direct,shard,1,nonce_hash_set,164.4556000000012,9,12,14,17
memo,1000,2,524288000,1000,524288000,0.01,512,0.38027476272642646,524288,2554592,sharded,1377141.1077751415,1000,0.146484375,ed25519,gossip,direct,shard,2,nonce_hash_set,153.2815000000022,9,11,14,18
memo,1000,2,524288000,1000,524288000,0.01,512,0.37988984384699803,524288,2598552,sharded,1378539.1751902672,1000,0.146484375,ed25519,gossip,direct,shard,3,nonce_hash_set,157.67710000000176,9,12,14,19
memo,1000,2,524288000,1000,524288000,0.01,512,0.38054036368261157,524288,2624488,sharded,1376131.4855860288,1000,0.146484375,ed25519,gossip,direct,shard,4,nonce_hash_set,160.26659999999734,9,12,15,19
memo,1000,300,524288000,1000,524288000,0.01,512,0.3697860395927255,524288,91321876,sharded,1416260.9074609927,1000,0.146484375,ed25519,gossip,direct,shard,0,nonce_hash_set,9030.000000000151,2,2,2,2
memo,1000,300,524288000,1000,524288000,0.01,512,0.37056617152238835,524288,91321900,sharded,1413312.493820981,1000,0.146484375,ed25519,gossip,direct,shard,1,nonce_hash_set,9030.000000000151,2,2,2,2
memo,1000,300,524288000,1000,524288000,0.01,512,0.37012412047514753,524288,91321906,sharded,1415008.7579476368,1000,0.146484375,ed25519,gossip,direct,shard,2,nonce_hash_set,9030.000000000151,2,2,2,2
memo,1000,300,524288000,1000,524288000,0.01,512,0.36996632957676945,524288,91321896,sharded,1415598.4210755732,1000,0.146484375,ed25519,gossip,direct,shard,3,nonce_hash_set,9030.000000000151,2,2,2,2
memo,1000,300,524288000,1000,524288000,0.01,512,0.3704308298879244,524288,91321890,sharded,1413815.0438462538,1000,0.146484375,ed25519,gossip,direct,shard,4,nonce_hash_set,9030.000000000151,2,2,2,2
memo,1000,350,524288000,1000,524288000,0.01,512,0.37027876467481247,524288,123871870,sharded,1414368.0112467017,1000,0.146484375,ed25519,gossip,direct,shard,0,nonce_hash_set,12284.99999999987,2,2,2,2
memo,1000,350,524288000,1000,524288000,0.01,512,0.37033993168369783,524288,123871826,sharded,1414073.5772648857,1000,0.146484375,ed25519,gossip,direct,shard,1,nonce_hash_set,12284.99999999987,2,2,2,2
memo,1000,350,524288000,1000,524288000,0.01,512,0.3707770923181521,524288,123871940,sharded,1412563.7501644515,1000,0.146484375,ed25519,gossip,direct,shard,2,nonce_hash_set,12284.99999999987,2,2,2,2
memo,1000,350,524288000,1000,524288000,0.01,512,0.37013127925359496,524288,123871856,sharded,1414912.2253490642,1000,0.146484375,ed25519,gossip,direct,shard,3,nonce_hash_set,12284.99999999987,2,2,2,2
memo,1000,350,524288000,1000,524288000,0.01,512,0.36989304221411173,524288,123871896,sharded,1415878.895329001,1000,0.146484375,ed25519,gossip,direct,shard,4,nonce_hash_set,12284.99999999987,2,2,2,2
memo,1000,400,524288000,1000,524288000,0.01,512,0.369932049544332,524288,161421906,sharded,1415743.4389507722,1000,0.146484375,ed25519,gossip,direct,shard,0,nonce_hash_set,16040.000000000642,2,2,2,2
memo,1000,400,524288000,1000,524288000,0.01,512,0.37025365886489114,524288,161421922,sharded,1414535.8228346808,1000,0.146484375,ed25519,gossip,direct,shard,1,nonce_hash_set,16040.000000000642,2,2,2,2
memo,1000,400,524288000,1000,524288000,0.01,512,0.37063093372649486,524288,161421892,sharded,1413054.4872071517,1000,0.146484375,ed25519,gossip,direct,shard,2,nonce_hash_set,16040.000000000642,2,2,2,2
memo,1000,400,524288000,1000,524288000,0.01,512,0.36965390615200605,524288,161421928,sharded,1416839.1765475674,1000,0.146484375,ed25519,gossip,direct,shard,3,nonce_hash_set,16040.000000000642,2,2,2,2
memo,1000,400,524288000,1000,524288000,0.01,512,0.3699340100563172,524288,161421914,sharded,1415747.0082847183,1000,0.146484375,ed25519,gossip,direct,shard,4,nonce_hash_set,16040.000000000642,2,2,2,2
memo,1000,450,524288000,1000,524288000,0.01,512,0.37085224213654067,524288,203971808,sharded,1412095.2673307327,1000,0.146484375,ed25519,gossip,direct,shard,0,nonce_hash_set,20294.999999998985,2,2,2,2
memo,1000,450,524288000,1000,524288000,0.01,512,0.3710979979410071,524288,203971864,sharded,1411237.3844799157,1000,0.146484375,ed25519,gossip,direct,shard,1,nonce_hash_set,20294.999999998985,2,2,2,2
memo,1000,450,524288000,1000,524288000,0.01,512,0.37089570916052783,524288,203971808,sharded,1411929.7772014558,1000,0.146484375,ed25519,gossip,direct,shard,2,nonce_hash_set,20294.999999998985,2,2,2,2
memo,1000,450,524288000,1000,524288000,0.01,512,0.37006650224577253,524288,203971860,sharded,1415165.4278943387,1000,0.146484375,ed25519,gossip,direct,shard,3,nonce_hash_set,20294.999999998985,2,2,2,2
memo,1000,450,524288000,1000,524288000,0.01,512,0.37005070823461605,524288,203971834,sharded,1415189.8546508758,1000,0.146484375,ed25519,gossip,direct,shard,4,nonce_hash_set,20294.999999998985,2,2,2,2
memo,1000,500,524288000,1000,524288000,0.01,512,0.37021147206269633,524288,251521828,sharded,1414567.0124217866,1000,0.146484375,ed25519,gossip,direct,shard,0,nonce_hash_set,25050.00000000067,1,2,2,2
memo,1000,500,524288000,1000,524288000,0.01,512,0.3701851232126957,524288,251521852,sharded,1414700.8919618286,1000,0.146484375,ed25519,gossip,direct,shard,1,nonce_hash_set,25050.00000000067,1,2,2,2
memo,1000,500,524288000,1000,524288000,0.01,512,0.36997437099790403,524288,251521894,sharded,1415564.8851767816,1000,0.146484375,ed25519,gossip,direct,shard,2,nonce_hash_set,25050.00000000067,1,2,2,2
memo,1000,500,524288000,1000,524288000,0.01,512,0.36994595115351225,524288,251521832,sharded,1415587.8240242992,1000,0.146484375,ed25519,gossip,direct,shard,3,nonce_hash_set,25050.00000000067,1,2,2,2
memo,1000,500,524288000,1000,524288000,0.01,512,0.37063841485460125,524288,251521834,sharded,1412945.8442817929,1000,0.146484375,ed25519,gossip,direct,shard,4,nonce_hash_set,25050.00000000067,1,2,2,2
memo,1000,50,524288000,1000,524288000,0.01,512,0.3703655015780837,524288,47407994,sharded,1414000.8336861515,1000,0.146484375,ed25519,gossip,direct,shard,0,nonce_hash_set,4637.30500000002,2,2,3,3
memo,1000,50,524288000,1000,524288000,0.01,512,0.37079973111092546,524288,47380460,sharded,1412367.0436085956,1000,0.146484375,ed25519,gossip,direct,shard,1,nonce_hash_set,4636.330000000004,2,2,3,3
memo,1000,50,524288000,1000,524288000,0.01,512,0.370389527472203,524288,47388562,sharded,1413864.8778057075,1000,0.146484375,ed25519,gossip,direct,shard,2,nonce_hash_set,4636.640000000002,2,2,3,3
memo,1000,50,524288000,1000,524288000,0.01,512,0.37066536201787803,524288,47374570,sharded,1412892.8507075887,1000,0.146484375,ed25519,gossip,direct,shard,3,nonce_hash_set,4635.340000000015,2,2,3,3
memo,1000,50,524288000,1000,524288000,0.01,512,0.3701439452787806,524288,47415722,sharded,1414885.9401321756,1000,0.146484375,ed25519,gossip,direct,shard,4,nonce_hash_set,4639.250000000011,2,2,3,3
