currency,nodes,neighbors,wallets,miners,transactions,interval,shards,average block time,block size,messages,mode,tps,no. of blocks generated,blocktime in configuration file,sig_scheme,broadcast_protocol,shard_comm_protocol,verify_mode,seed,conflict_check,broadcast_cpu_seconds,hop_p50,hop_p90,hop_p99,hop_max
memo,1000,250,524288000,1000,524288000,0.01,512,0.48978970926776083,524288,63771836,sharded,1069220.161409526,1000,0.146484375,ed25519,gossip,direct,shard,4,nonce_hash_set,6274.999999999776,2,2,2,2
memo,1000,2,524288000,1000,524288000,0.01,512,1.0653825347546513,524288,2656440,sharded,491577.05417107086,1000,0.146484375,ed25519,gossip,direct,shard,0,nonce_hash_set,163.45600000000155,9,12,16,23
memo,1000,2,524288000,1000,524288000,0.01,512,0.92126750105575,524288,2666448,sharded,568498.4126758057,1000,0.146484375,ed25519,gossip,direct,shard,1,nonce_hash_set,164.4556000000012,9,12,14,17
memo,1000,2,524288000,1000,524288000,0.01,512,0.941672448419226,524288,2554592,sharded,556129.6912521071,1000,0.146484375,ed25519,gossip,direct,shard,2,nonce_hash_set,153.2815000000022,9,11,14,18
memo,1000,2,524288000,1000,524288000,0.01,512,0.952421924218198,524288,2598552,sharded,549854.028643741,1000,0.146484375,ed25519,gossip,direct,shard,3,nonce_hash_set,157.67710000000176,9,12,14,19
memo,1000,2,524288000,1000,524288000,0.01,512,0.9656098136154104,524288,2624488,sharded,542324.2065439201,1000,0.146484375,ed25519,gossip,direct,shard,4,nonce_hash_set,160.26659999999734,9,12,15,19
memo,1000,300,524288000,1000,524288000,0.01,512,0.48993340005352554,524288,91321876,sharded,1068948.3753154695,1000,0.146484375,ed25519,gossip,direct,shard,0,nonce_hash_set,9030.000000000151,2,2,2,2
memo,1000,300,524288000,1000,524288000,0.01,512,0.4907135430423886,524288,91321900,sharded,1067273.9879012464,1000,0.146484375,ed25519,gossip,direct,shard,1,nonce_hash_set,9030.000000000151,2,2,2,2
memo,1000,300,524288000,1000,524288000,0.01,512,0.4902714947599475,524288,91321906,sharded,1068242.5505003799,1000,0.146484375,ed25519,gossip,direct,shard,2,nonce_hash_set,9030.000000000151,2,2,2,2
memo,1000,300,524288000,1000,524288000,0.01,512,0.49011369925356907,524288,91321896,sharded,1068576.0320464787,1000,0.146484375,ed25519,gossip,direct,shard,3,nonce_hash_set,9030.000000000151,2,2,2,2
memo,1000,300,524288000,1000,524288000,0.01,512,0.49057819679992376,524288,91321890,sharded,1067558.0028143667,1000,0.146484375,ed25519,gossip,direct,shard,4,nonce_hash_set,9030.000000000151,2,2,2,2
memo,1000,350,524288000,1000,524288000,0.01,512,0.4904722023708133,524288,123871870,sharded,1067767.8316294416,1000,0.146484375,ed25519,gossip,direct,shard,0,nonce_hash_set,12284.99999999987,2,2,2,2
memo,1000,350,524288000,1000,524288000,0.01,512,0.4905333491044967,524288,123871826,sharded,1067588.8050344167,1000,0.146484375,ed25519,gossip,direct,shard,1,nonce_hash_set,12284.99999999987,2,2,2,2
memo,1000,350,524288000,1000,524288000,0.01,512,0.49097056227015234,524288,123871940,sharded,1066756.991658113,1000,0.146484375,ed25519,gossip,direct,shard,2,nonce_hash_set,12284.99999999987,2,2,2,2
memo,1000,350,524288000,1000,524288000,0.01,512,0.49032471049839566,524288,123871856,sharded,1068074.402099124,1000,0.146484375,ed25519,gossip,direct,shard,3,nonce_hash_set,12284.99999999987,2,2,2,2
memo,1000,350,524288000,1000,524288000,0.01,512,0.4900864918909118,524288,123871896,sharded,1068635.354505089,1000,0.146484375,ed25519,gossip,direct,shard,4,nonce_hash_set,12284.99999999987,2,2,2,2
memo,1000,400,524288000,1000,524288000,0.01,512,0.4901715838291322,524288,161421906,sharded,1068460.288759957,1000,0.146484375,ed25519,gossip,direct,shard,0,nonce_hash_set,16040.000000000642,2,2,2,2
memo,1000,400,524288000,1000,524288000,0.01,512,0.4904932005224919,524288,161421922,sharded,1067776.4002479452,1000,0.146484375,ed25519,gossip,direct,shard,1,nonce_hash_set,16040.000000000642,2,2,2,2
