currency,nodes,wallets,miners,transactions,interval,shards,average block time,block size,messages,mode,tps,no. of blocks generated,blocktime in configuration file
memo,1000,1000,1000,1000,0.01,16,5.075844806498303,8192,126813,sharded,1601.9168455275203,123,4.6875
memo,1000,1000,1000,1000,0.01,16,77.27181241501808,4096,252595,sharded,52.83469515550989,245,75.0
memo,1000,1000,1000,1000,0.01,16,9.877725867450662,4096,252595,sharded,413.31706385114626,245,9.375
memo,1000,1000,1000,1000,0.01,16,1232.4698721889729,4096,252595,sharded,3.312561828233672,245,1200.0
memo,1000,1000,1000,1000,0.01,16,146.19402843045603,4096,252595,sharded,27.926124595460603,245,150.0
memo,1000,1000,1000,1000,0.01,16,38.7801046245822,4096,252595,sharded,105.27647340263485,245,37.5
memo,1000,1000,1000,1000,0.01,16,19.302128407512512,4096,252595,sharded,211.5120450381129,245,18.75
memo,1000,1000,1000,1000,0.01,16,4.971366188735162,4096,252595,sharded,821.229516810136,245,4.6875
memo,1000,1000,1000,1000,0.01,16,598.292976327934,4096,252595,sharded,6.8238017402756,245,600.0
memo,1000,1000,1000,1000,0.01,16,299.15007675710405,4096,252595,sharded,13.647439764410064,245,300.0
memo,1000,1000,1000,1000,0.01,16,73.7970969859551,2048,504159,sharded,27.72452926489118,489,75.0
memo,1000,1000,1000,1000,0.01,16,303.39978480562735,2048,504159,sharded,6.743543922952633,489,300.0
memo,1000,1000,1000,1000,0.01,16,153.91745702743552,2048,504159,sharded,13.292772727439425,489,150.0
memo,1000,1000,1000,1000,0.01,16,19.04375456817065,2048,504159,sharded,107.43626041425416,489,18.75
memo,1000,1000,1000,1000,0.01,16,38.00908156465114,2048,504159,sharded,53.828971678019116,489,37.5
memo,1000,1000,1000,1000,0.01,16,5.076334405193828,2048,504159,sharded,403.04471922846136,489,4.6875
memo,1000,1000,1000,1000,0.01,16,599.175610365103,2048,504159,sharded,3.4146746624156092,489,600.0
memo,1000,1000,1000,1000,0.01,16,1177.9309984164577,2048,504159,sharded,1.7369351666622534,489,1200.0
memo,1000,1000,1000,1000,0.01,16,9.881391060864043,2048,504159,sharded,207.0548329125859,489,9.375
memo,1000,1000,1000,1000,0.01,16,148.45586804183725,1024,1007287,sharded,6.901320014781305,977,150.0
memo,1000,1000,1000,1000,0.01,16,5.045804187186334,1024,1007287,sharded,203.04819914150764,977,4.6875
memo,1000,1000,1000,1000,0.01,16,74.9563173009944,1024,1007287,sharded,13.668513746676185,977,75.0
memo,1000,1000,1000,1000,0.01,16,596.5152348304559,1024,1007287,sharded,1.7175444877280683,977,600.0
memo,1000,1000,1000,1000,0.01,16,1218.1413654391392,1024,1007287,sharded,0.8410694214127745,977,1200.0
memo,1000,1000,1000,1000,0.01,16,302.5325301334895,1024,1007287,sharded,3.3865497140978364,977,300.0
memo,1000,1000,1000,1000,0.01,16,37.316856358452945,1024,1007287,sharded,27.455191926872658,977,37.5
memo,1000,1000,1000,1000,0.01,16,19.337985067810795,1024,1007287,sharded,52.98077591001313,977,18.75
memo,1000,1000,1000,1000,0.01,16,9.541299713759857,1024,1007287,sharded,107.37965310442299,977,9.375
memo,1000,1000,1000,1000,0.01,2,35.41806338630045,262144,4012,sharded,7058.573397231517,4,9.375
memo,1000,1000,1000,1000,0.01,2,166.53362918547728,262144,4012,sharded,1501.204298631844,4,150.0
memo,1000,1000,1000,1000,0.01,2,582.2723731478429,262144,4012,sharded,429.354047227865,4,600.0
memo,1000,1000,1000,1000,0.01,2,345.4165987773352,262144,4012,sharded,723.7666078727078,4,300.0
memo,1000,1000,1000,1000,0.01,2,79.58690055334925,262144,4012,sharded,3141.233020280989,4,75.0
memo,1000,1000,1000,1000,0.01,2,73.02844232465903,262144,4012,sharded,3423.337429115393,4,37.5
memo,1000,1000,1000,1000,0.01,2,947.3690830546903,262144,4012,sharded,263.88976004357085,4,1200.0
memo,1000,1000,1000,1000,0.01,2,42.75189091319956,262144,4012,sharded,5847.717952583302,4,18.75
memo,1000,1000,1000,1000,0.01,2,38.742764825151916,131072,8024,sharded,3226.4346792010306,8,37.5
memo,1000,1000,1000,1000,0.01,2,336.55761885997515,131072,8024,sharded,371.4104004640189,8,300.0
memo,1000,1000,1000,1000,0.01,2,19.403005624489197,131072,8024,sharded,6442.352407620393,8,4.6875
memo,1000,1000,1000,1000,0.01,2,24.892396796885482,131072,8024,sharded,5021.653841531243,8,9.375
memo,1000,1000,1000,1000,0.01,2,31.42311585730073,131072,8024,sharded,3977.9950711335246,8,18.75
memo,1000,1000,1000,1000,0.01,2,1577.3435822639904,131072,8024,sharded,79.24779445996398,8,1200.0
memo,1000,1000,1000,1000,0.01,2,591.5181591158288,131072,8024,sharded,211.32233740185615,8,600.0
memo,1000,1000,1000,1000,0.01,2,151.40603607940008,131072,8024,sharded,825.6011664848501,8,150.0
memo,1000,1000,1000,1000,0.01,2,67.42556639514865,131072,8024,sharded,1853.9110115505678,8,75.0
memo,1000,1000,1000,1000,0.01,2,45.507966525363564,65536,16048,sharded,1373.4078837639445,16,37.5
memo,1000,1000,1000,1000,0.01,2,14.99922109286833,65536,16048,sharded,4166.949711123154,16,9.375
memo,1000,1000,1000,1000,0.01,2,1656.1027194303997,65536,16048,sharded,37.739808809381465,16,1200.0
memo,1000,1000,1000,1000,0.01,2,11.676961873318817,65536,16048,sharded,5352.505273037773,16,4.6875
memo,1000,1000,1000,1000,0.01,2,25.682904838922347,65536,16048,sharded,2433.5642869057383,16,18.75
memo,1000,1000,1000,1000,0.01,2,575.9164992056691,65536,16048,sharded,108.52441297688866,16,600.0
memo,1000,1000,1000,1000,0.01,2,96.71760614906269,65536,16048,sharded,646.2215359597764,16,75.0
memo,1000,1000,1000,1000,0.01,2,227.72467156411557,65536,16048,sharded,274.45862396338083,16,150.0
memo,1000,1000,1000,1000,0.01,2,12.321401058762017,32768,31093,sharded,2618.132821282439,31,9.375
memo,1000,1000,1000,1000,0.01,2,52.289905000023424,32768,31093,sharded,616.9271968674371,31,37.5
memo,1000,1000,1000,1000,0.01,2,649.7338412043605,32768,31093,sharded,49.64966032296078,31,600.0
memo,1000,1000,1000,1000,0.01,2,918.3882098063941,32768,31093,sharded,35.12573895404165,31,1200.0
memo,1000,1000,1000,1000,0.01,2,7.009053392268464,32768,31093,sharded,4602.485201741125,31,4.6875
memo,1000,1000,1000,1000,0.01,2,23.951010822610886,32768,31093,sharded,1346.8769545907828,31,18.75
memo,1000,1000,1000,1000,0.01,2,85.36462048996555,32768,31093,sharded,377.897357605204,31,75.0
memo,1000,1000,1000,1000,0.01,2,351.725461990381,32768,31093,sharded,91.71660286854994,31,300.0
memo,1000,1000,1000,1000,0.01,2,128.49981160771733,32768,31093,sharded,251.04367167952833,31,150.0
memo,1000,1000,1000,1000,0.01,2,303.51108833804443,16384,62186,sharded,53.14478738285573,62,300.0
memo,1000,1000,1000,1000,0.01,2,1422.1550666439632,16384,62186,sharded,11.341964485018197,62,1200.0
memo,1000,1000,1000,1000,0.01,2,644.1431288939438,16384,62186,sharded,25.041068567728644,62,600.0
memo,1000,1000,1000,1000,0.01,2,17.125988750398474,16384,62186,sharded,941.8453143436298,62,18.75
memo,1000,1000,1000,1000,0.01,2,9.650994032647542,16384,62186,sharded,1671.3337717855359,62,9.375
memo,1000,1000,1000,1000,0.01,2,37.18584687023583,16384,62186,sharded,433.76804928907677,62,37.5
memo,1000,1000,1000,1000,0.01,2,85.32486133640288,16384,62186,sharded,189.04258390142644,62,75.0
memo,1000,1000,1000,1000,0.01,2,6.202502789522928,16384,62186,sharded,2600.568319825806,62,4.6875
memo,1000,1000,1000,1000,0.01,2,160.45634236587304,16384,62186,sharded,100.52598744451477,62,150.0
