currency,nodes,neighbors,wallets,miners,transactions,interval,shards,average block time,block size,messages,mode,tps,no. of blocks generated,blocktime in configuration file,sig_scheme,broadcast_protocol,shard_comm_protocol,verify_mode,seed,conflict_check,broadcast_cpu_seconds,hop_p50,hop_p90,hop_p99,hop_max
memo,1000,250,524288000,1000,524288000,0.01,512,0.7445941298757616,524288,63771836,sharded,703326.8340261831,1000,0.146484375,ed25519,gossip,direct,shard,4,nonce_hash_set,6274.999999999776,2,2,2,2
memo,1000,2,524288000,1000,524288000,0.01,512,2.446489002082648,524288,2656440,sharded,214069.0628709835,1000,0.146484375,ed25519,gossip,direct,shard,0,nonce_hash_set,163.45600000000155,9,12,16,23
memo,1000,2,524288000,1000,524288000,0.01,512,2.0199228170237506,524288,2666448,sharded,259286.6953063592,1000,0.146484375,ed25519,gossip,direct,shard,1,nonce_hash_set,164.4556000000012,9,12,14,17
memo,1000,2,524288000,1000,524288000,0.01,512,2.079399535267225,524288,2554592,sharded,251847.7084937407,1000,0.146484375,ed25519,gossip,direct,shard,2,nonce_hash_set,153.2815000000022,9,11,14,18
memo,1000,2,524288000,1000,524288000,0.01,512,2.112536287610199,524288,2598552,sharded,247897.76870172788,1000,0.146484375,ed25519,gossip,direct,shard,3,nonce_hash_set,157.67710000000176,9,12,14,19
memo,1000,2,524288000,1000,524288000,0.01,512,2.1509319788634076,524288,2624488,sharded,243463.56888362358,1000,0.146484375,ed25519,gossip,direct,shard,4,nonce_hash_set,160.26659999999734,9,12,15,19
memo,1000,300,524288000,1000,524288000,0.01,512,0.7457110097815262,524288,91321876,sharded,702300.8982439918,1000,0.146484375,ed25519,gossip,direct,shard,0,nonce_hash_set,9030.000000000151,2,2,2,2
memo,1000,300,524288000,1000,524288000,0.01,512,0.7464913862423892,524288,91321900,sharded,701583.1791928323,1000,0.146484375,ed25519,gossip,direct,shard,1,nonce_hash_set,9030.000000000151,2,2,2,2
memo,1000,300,524288000,1000,524288000,0.01,512,0.7460493963279476,524288,91321906,sharded,702002.9432069666,1000,0.146484375,ed25519,gossip,direct,shard,2,nonce_hash_set,9030.000000000151,2,2,2,2
memo,1000,300,524288000,1000,524288000,0.01,512,0.7458915035415694,524288,91321896,sharded,702144.681248286,1000,0.146484375,ed25519,gossip,direct,shard,3,nonce_hash_set,9030.000000000151,2,2,2,2
memo,1000,300,524288000,1000,524288000,0.01,512,0.7463559427199236,524288,91321890,sharded,701703.6376657225,1000,0.146484375,ed25519,gossip,direct,shard,4,nonce_hash_set,9030.000000000151,2,2,2,2
memo,1000,350,524288000,1000,524288000,0.01,512,0.7472225537308116,524288,123871870,sharded,700876.1143318858,1000,0.146484375,ed25519,gossip,direct,shard,0,nonce_hash_set,12284.99999999987,2,2,2,2
memo,1000,350,524288000,1000,524288000,0.01,512,0.7472832724324956,524288,123871826,sharded,700789.019798789,1000,0.146484375,ed25519,gossip,direct,shard,1,nonce_hash_set,12284.99999999987,2,2,2,2
memo,1000,350,524288000,1000,524288000,0.01,512,0.7477215945901523,524288,123871940,sharded,700456.2711433797,1000,0.146484375,ed25519,gossip,direct,shard,2,nonce_hash_set,12284.99999999987,2,2,2,2
memo,1000,350,524288000,1000,524288000,0.01,512,0.747074925666396,524288,123871856,sharded,701005.018382665,1000,0.146484375,ed25519,gossip,direct,shard,3,nonce_hash_set,12284.99999999987,2,2,2,2
memo,1000,350,524288000,1000,524288000,0.01,512,0.7468370961789115,524288,123871896,sharded,701255.6750053794,1000,0.146484375,ed25519,gossip,direct,shard,4,nonce_hash_set,12284.99999999987,2,2,2,2
memo,1000,400,524288000,1000,524288000,0.01,512,0.7478950853971321,524288,161421906,sharded,700270.5088266493,1000,0.146484375,ed25519,gossip,direct,shard,0,nonce_hash_set,16040.000000000642,2,2,2,2
memo,1000,400,524288000,1000,524288000,0.01,512,0.7482168577384914,524288,161421922,sharded,699980.3046178503,1000,0.146484375,ed25519,gossip,direct,shard,1,nonce_hash_set,16040.000000000642,2,2,2,2
memo,1000,400,524288000,1000,524288000,0.01,512,0.7485938269360959,524288,161421892,sharded,699607.2972489363,1000,0.146484375,ed25519,gossip,direct,shard,2,nonce_hash_set,16040.000000000642,2,2,2,2
memo,1000,400,524288000,1000,524288000,0.01,512,0.7476171661584067,524288,161421928,sharded,700545.8939515961,1000,0.146484375,ed25519,gossip,direct,shard,3,nonce_hash_set,16040.000000000642,2,2,2,2
memo,1000,400,524288000,1000,524288000,0.01,512,0.7478971274195179,524288,161421914,sharded,700274.0735307337,1000,0.146484375,ed25519,gossip,direct,shard,4,nonce_hash_set,16040.000000000642,2,2,2,2
memo,1000,450,524288000,1000,524288000,0.01,512,0.7498331594869402,524288,203971808,sharded,698393.6218002385,1000,0.146484375,ed25519,gossip,direct,shard,0,nonce_hash_set,20294.999999998985,2,2,2,2
memo,1000,450,524288000,1000,524288000,0.01,512,0.7500794858642073,524288,203971864,sharded,698202.494361792,1000,0.146484375,ed25519,gossip,direct,shard,1,nonce_hash_set,20294.999999998985,2,2,2,2
memo,1000,450,524288000,1000,524288000,0.01,512,0.749876626510928,524288,203971808,sharded,698353.13901782,1000,0.146484375,ed25519,gossip,direct,shard,2,nonce_hash_set,20294.999999998985,2,2,2,2
memo,1000,450,524288000,1000,524288000,0.01,512,0.749047949413772,524288,203971860,sharded,699161.2758700801,1000,0.146484375,ed25519,gossip,direct,shard,3,nonce_hash_set,20294.999999998985,2,2,2,2
memo,1000,450,524288000,1000,524288000,0.01,512,0.749031890493817,524288,203971834,sharded,699158.4933116047,1000,0.146484375,ed25519,gossip,direct,shard,4,nonce_hash_set,20294.999999998985,2,2,2,2
memo,1000,500,524288000,1000,524288000,0.01,512,0.750211473189097,524288,251521828,sharded,698055.0880858095,1000,0.146484375,ed25519,gossip,direct,shard,0,nonce_hash_set,25050.00000000067,1,2,2,2
memo,1000,500,524288000,1000,524288000,0.01,512,0.7501853688702957,524288,251521852,sharded,698095.7583705501,1000,0.146484375,ed25519,gossip,direct,shard,1,nonce_hash_set,25050.00000000067,1,2,2,2
memo,1000,500,524288000,1000,524288000,0.01,512,0.7499750445851042,524288,251521894,sharded,698320.2064939776,1000,0.146484375,ed25519,gossip,direct,shard,2,nonce_hash_set,25050.00000000067,1,2,2,2
memo,1000,500,524288000,1000,524288000,0.01,512,0.7499459930351118,524288,251521832,sharded,698304.9297730981,1000,0.146484375,ed25519,gossip,direct,shard,3,nonce_hash_set,25050.00000000067,1,2,2,2
memo,1000,500,524288000,1000,524288000,0.01,512,0.7506384771138025,524288,251521834,sharded,697662.0889640384,1000,0.146484375,ed25519,gossip,direct,shard,4,nonce_hash_set,25050.00000000067,1,2,2,2
memo,1000,50,524288000,1000,524288000,0.01,512,0.8315551857252846,524288,47407994,sharded,629780.3645385603,1000,0.146484375,ed25519,gossip,direct,shard,0,nonce_hash_set,4637.30500000002,2,2,3,3
memo,1000,50,524288000,1000,524288000,0.01,512,0.8319895782789252,524288,47380460,sharded,629461.3943162006,1000,0.146484375,ed25519,gossip,direct,shard,1,nonce_hash_set,4636.330000000004,2,2,3,3
memo,1000,50,524288000,1000,524288000,0.01,512,0.8315788855778031,524288,47388562,sharded,629742.7136285846,1000,0.146484375,ed25519,gossip,direct,shard,2,nonce_hash_set,4636.640000000002,2,2,3,3
memo,1000,50,524288000,1000,524288000,0.01,512,0.831855311073879,524288,47374570,sharded,629569.1486586999,1000,0.146484375,ed25519,gossip,direct,shard,3,nonce_hash_set,4635.340000000015,2,2,3,3
memo,1000,50,524288000,1000,524288000,0.01,512,0.8313339147123799,524288,47415722,sharded,629965.2338629666,1000,0.146484375,ed25519,gossip,direct,shard,4,nonce_hash_set,4639.250000000011,2,2,3,3
