block,rounds,messages,coverage
266,4,10140,1.000000
267,4,9972,1.000000
268,4,10212,1.000000
269,4,9936,1.000000
270,4,9936,1.000000
271,4,10092,1.000000
272,4,10068,1.000000
273,4,10176,1.000000
274,4,10284,1.000000
275,4,9924,1.000000
276,5,12276,1.000000
277,4,9984,1.000000
278,4,9852,1.000000
279,4,10200,1.000000
280,4,10380,1.000000
281,4,9840,1.000000
282,4,10104,1.000000
283,4,9900,1.000000
284,5,12276,1.000000
285,4,10308,1.000000
286,4,10332,1.000000
287,4,10176,1.000000
288,4,10008,1.000000
289,4,10176,1.000000
290,4,10080,1.000000
291,4,10356,1.000000
292,4,10332,1.000000
293,4,10008,1.000000
294,4,10260,1.000000
295,4,9960,1.000000
296,4,10080,1.000000
297,4,10176,1.000000
298,4,9780,1.000000
299,5,12276,1.000000
300,4,10224,1.000000
